"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validar criação de usuário com sucesso","2024","deveCriarUsuarioComSucesso()","","2026-09-14","passed","2026-09-14","","BeforeCriarUsuarioTest","BeforeCriarUsuarioTest","deveCriarUsuarioComSucesso"
"Validar deleção de usuário com sucesso","358","deveExcluirUsuarioComSucesso()","","2026-09-14","passed","2026-09-14","","usuarios.DeleteTest","usuarios.DeleteTest","deveExcluirUsuarioComSucesso"
"","192","deveListarProdutos()","","2026-09-14","passed","2026-09-14","","ProdutosTest","ProdutosTest","deveListarProdutos"
"Validar login de usuário com sucesso","371","deveRealizarLoginComSucesso()","","2026-09-14","passed","2026-09-14","","login.LoginTest","login.LoginTest","deveRealizarLoginComSucesso"
"Validar criação de usuário com sucesso","172","deveCriarUsuarioComSucesso()","","2026-09-14","passed","2026-09-14","","StringTest","StringTest","deveCriarUsuarioComSucesso"
"Validar criação de usuário com sucesso","180","deveCriarUsuarioComSucesso()","","2026-09-14","passed","2026-09-14","","usuarios.ModelCriarUsuarioTest","usuarios.ModelCriarUsuarioTest","deveCriarUsuarioComSucesso"
"Validar dados de usuário com sucesso","285","deveListarUsuarios()","","2026-09-14","passed","2026-09-14","","UserIdTest","UserIdTest","deveListarUsuarios"
"Validar lista de usuários com sucesso","255","deveListarUsuarios()","","2026-09-14","passed","2026-09-14","","UserTest","UserTest","deveListarUsuarios"
"Validar criação de usuário com sucesso","199","deveCriarUsuarioComSucesso()","","2026-09-14","passed","2026-09-14","","CriarUsuarioMapTest","CriarUsuarioMapTest","deveCriarUsuarioComSucesso"
"Validar atualização de dados do usuário com sucesso","512","deveAtualizarUsuarioComSucesso()","","2026-09-14","passed","2026-09-14","","usuarios.UpdateTest","usuarios.UpdateTest","deveAtualizarUsuarioComSucesso"
