"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validar criação de usuário com sucesso","112","deveCriarUsuarioComSucesso()","","Fri Aug 07 19:23:55 UTC 2026","passed","Fri Aug 07 19:23:55 UTC 2026","","usuarios.ModelCriarUsuarioTest","usuarios.ModelCriarUsuarioTest","deveCriarUsuarioComSucesso"
"Validar deleção de usuário com sucesso","239","deveExcluirUsuarioComSucesso()","","Fri Aug 07 19:23:54 UTC 2026","passed","Fri Aug 07 19:23:55 UTC 2026","","usuarios.DeleteTest","usuarios.DeleteTest","deveExcluirUsuarioComSucesso"
"Validar lista de usuários com sucesso","145","deveListarUsuarios()","","Fri Aug 07 19:23:54 UTC 2026","passed","Fri Aug 07 19:23:54 UTC 2026","","UserTest","UserTest","deveListarUsuarios"
"Validar dados de usuário com sucesso","175","deveListarUsuarios()","","Fri Aug 07 19:23:54 UTC 2026","passed","Fri Aug 07 19:23:54 UTC 2026","","UserIdTest","UserIdTest","deveListarUsuarios"
"","118","deveListarProdutos()","","Fri Aug 07 19:23:54 UTC 2026","passed","Fri Aug 07 19:23:54 UTC 2026","","ProdutosTest","ProdutosTest","deveListarProdutos"
"Validar login de usuário com sucesso","1489","deveRealizarLoginComSucesso()","","Fri Aug 07 19:23:52 UTC 2026","passed","Fri Aug 07 19:23:53 UTC 2026","","login.LoginTest","login.LoginTest","deveRealizarLoginComSucesso"
"Validar criação de usuário com sucesso","124","deveCriarUsuarioComSucesso()","","Fri Aug 07 19:23:54 UTC 2026","passed","Fri Aug 07 19:23:54 UTC 2026","","StringTest","StringTest","deveCriarUsuarioComSucesso"
"Validar atualização de dados do usuário com sucesso","337","deveAtualizarUsuarioComSucesso()","","Fri Aug 07 19:23:55 UTC 2026","passed","Fri Aug 07 19:23:55 UTC 2026","","usuarios.UpdateTest","usuarios.UpdateTest","deveAtualizarUsuarioComSucesso"
"Validar criação de usuário com sucesso","149","deveCriarUsuarioComSucesso()","","Fri Aug 07 19:23:53 UTC 2026","passed","Fri Aug 07 19:23:54 UTC 2026","","CriarUsuarioMapTest","CriarUsuarioMapTest","deveCriarUsuarioComSucesso"
"Validar criação de usuário com sucesso","131","deveCriarUsuarioComSucesso()","","Fri Aug 07 19:23:54 UTC 2026","passed","Fri Aug 07 19:23:54 UTC 2026","","BeforeCriarUsuarioTest","BeforeCriarUsuarioTest","deveCriarUsuarioComSucesso"
